Date,Open,High,Low,Close,SMAVG (200) on Close,SMAVG (50) on Close,SMAVG (100) on Close
17/11/2016 17:30,1227.09,1227.09,1225.59,1225.59,1226.44,1226.77,1227.01
17/11/2016 17:00,1225.61,1229.25,1225.48,1227.09,1226.59,1226.81,1226.98
17/11/2016 16:30,1226.21,1226.7,1224.62,1225.61,1226.74,1226.86,1226.94
17/11/2016 16:00,1224.61,1227.05,1224.17,1226.21,1226.89,1226.9,1226.94
17/11/2016 15:30,1226.64,1228.03,1222.82,1224.61,1227.03,1226.91,1226.94
17/11/2016 15:00,1228.68,1230.07,1225.38,1226.66,1227.18,1226.93,1226.96
17/11/2016 14:30,1229.69,1229.92,1227.93,1228.68,1227.33,1226.89,1226.96
17/11/2016 14:00,1230.35,1230.58,1228.31,1229.69,1227.47,1226.78,1226.93
17/11/2016 13:30,1230.14,1230.66,1229.65,1230.36,1227.61,1226.67,1226.88
17/11/2016 13:00,1230.38,1231.26,1229.59,1230.14,1227.77,1226.59,1226.83
17/11/2016 12:30,1228.79,1231.52,1228.51,1230.36,1227.93,1226.52,1226.79
17/11/2016 12:00,1227.64,1228.86,1226.29,1228.79,1228.09,1226.46,1226.77
17/11/2016 11:30,1227.76,1228.16,1226.73,1227.65,1228.26,1226.44,1226.76
17/11/2016 11:00,1229.66,1229.78,1227.67,1227.76,1228.42,1226.44,1226.74
17/11/2016 10:30,1228.59,1229.67,1227.49,1229.65,1228.6,1226.43,1226.75
17/11/2016 10:00,1228.45,1229.58,1228.02,1228.59,1228.76,1226.38,1226.72
17/11/2016 09:30,1226.47,1228.66,1225.83,1228.45,1228.91,1226.33,1226.7
17/11/2016 09:00,1226.36,1226.86,1225.33,1226.47,1229.06,1226.35,1226.66
17/11/2016 08:30,1225.86,1226.95,1225.76,1226.36,1229.23,1226.45,1226.65
17/11/2016 08:00,1226.88,1227.2,1225.84,1225.86,1229.4,1226.54,1226.64
17/11/2016 07:30,1226.78,1227.47,1226.58,1226.88,1229.55,1226.63,1226.63
17/11/2016 07:00,1225.27,1226.88,1225.26,1226.78,1229.73,1226.68,1226.62
17/11/2016 06:30,1225.81,1226.51,1224.88,1225.27,1229.91,1226.76,1226.61
17/11/2016 06:00,1226.22,1226.93,1225.72,1225.81,1230.08,1226.87,1226.61
17/11/2016 05:30,1227.21,1227.69,1225.54,1226.22,1230.26,1226.96,1226.61
17/11/2016 05:00,1228,1228.35,1227.2,1227.21,1230.42,1227.08,1226.63
17/11/2016 04:30,1227.51,1228.13,1227.36,1228,1230.58,1227.17,1226.65
17/11/2016 04:00,1228.19,1228.19,1226.97,1227.51,1230.73,1227.24,1226.65
